investor_id,days_gap,at_risk_flag
INV000437,97.8,Yes
INV000440,69.57142857142857,Yes
INV000441,60.8,Yes
INV000444,73.2,Yes
INV000445,57.75,Yes
INV000446,38.6,Yes
INV000449,46.8,Yes
INV000452,49.375,Yes
INV000457,91.4,Yes
INV000460,43.4,Yes
INV000463,65.16666666666667,Yes
INV000466,73.33333333333333,Yes
INV000467,56.666666666666664,Yes
INV000469,70.5,Yes
INV000483,70.42857142857143,Yes
INV000491,95.0,Yes
INV000493,47.55555555555556,Yes
INV000497,71.83333333333333,Yes
INV000499,77.83333333333333,Yes
INV000507,70.16666666666667,Yes
INV000512,54.75,Yes
INV000522,100.8,Yes
INV000524,55.0,Yes
INV000527,50.8,Yes
INV000529,59.2,Yes
INV000531,47.0,Yes
INV000539,77.0,Yes
INV000540,73.5,Yes
INV000543,83.66666666666667,Yes
INV000545,80.6,Yes
INV000546,55.0,Yes
INV000547,55.8,Yes
INV000549,96.2,Yes
INV000553,72.0,Yes
INV000554,70.2,Yes
INV000556,52.42857142857143,Yes
INV000562,74.4,Yes
INV000563,76.33333333333333,Yes
INV000566,35.0,No
INV000567,63.8,Yes
INV000568,62.4,Yes
INV000570,67.28571428571429,Yes
INV000573,50.833333333333336,Yes
INV000575,71.6,Yes
INV000578,66.83333333333333,Yes
INV000581,78.33333333333333,Yes
INV000586,44.5,Yes
INV000589,59.125,Yes
INV000591,64.5,Yes
INV000593,74.2,Yes
INV000596,51.75,Yes
INV000597,88.6,Yes
INV000599,81.5,Yes
INV000607,66.66666666666667,Yes
INV000608,100.2,Yes
INV000609,47.0,Yes
INV000612,49.3,Yes
INV000615,55.833333333333336,Yes
INV000624,31.666666666666668,No
INV000625,86.4,Yes
INV000630,68.66666666666667,Yes
INV000631,54.0,Yes
INV000634,52.25,Yes
INV000635,75.0,Yes
INV000641,54.8,Yes
INV000642,53.5,Yes
INV000645,66.0,Yes
INV000646,62.333333333333336,Yes
INV000651,94.0,Yes
INV000652,93.8,Yes
INV000657,64.71428571428571,Yes
INV000662,66.14285714285714,Yes
INV000663,94.4,Yes
INV000665,36.22222222222222,Yes
INV000667,68.0,Yes
INV000673,92.8,Yes
INV000675,62.8,Yes
INV000676,35.3,Yes
INV000678,63.333333333333336,Yes
INV000683,54.5,Yes
INV000690,56.285714285714285,Yes
INV000691,66.4,Yes
INV000698,52.25,Yes
INV000699,42.8,Yes
INV000701,83.66666666666667,Yes
INV000707,34.375,No
INV000709,65.16666666666667,Yes
INV000710,88.6,Yes
INV000714,37.0,Yes
INV000718,57.833333333333336,Yes
INV000719,72.83333333333333,Yes
INV000724,81.2,Yes
INV000725,67.66666666666667,Yes
INV000734,64.0,Yes
INV000737,92.6,Yes
INV000747,84.6,Yes
INV000750,26.5,No
INV000751,53.0,Yes
INV000754,72.33333333333333,Yes
INV000759,83.0,Yes
INV000761,75.16666666666667,Yes
INV000768,60.0,Yes
INV000772,46.0,Yes
INV000774,73.66666666666667,Yes
INV000776,59.42857142857143,Yes
INV000777,66.0,Yes
INV000778,59.714285714285715,Yes
INV000779,75.0,Yes
INV000783,89.8,Yes
INV000785,32.6,No
INV000786,64.125,Yes
INV000789,55.142857142857146,Yes
INV000793,69.14285714285714,Yes
INV000803,77.16666666666667,Yes
INV000814,94.0,Yes
INV000822,55.5,Yes
INV000823,39.666666666666664,Yes
INV000827,58.285714285714285,Yes
INV000830,72.2,Yes
INV000833,67.28571428571429,Yes
INV000836,84.8,Yes
INV000843,55.6,Yes
INV000844,66.16666666666667,Yes
INV000847,47.8,Yes
INV000853,49.333333333333336,Yes
INV000854,61.25,Yes
INV000858,44.875,Yes
INV000862,91.2,Yes
INV000864,40.8,Yes
INV000865,45.75,Yes
INV000869,65.4,Yes
INV000873,73.5,Yes
INV000874,62.125,Yes
INV000877,59.4,Yes
INV000881,46.111111111111114,Yes
INV000887,65.66666666666667,Yes
INV000888,80.33333333333333,Yes
INV000893,59.5,Yes
INV000894,55.0,Yes
INV000901,54.0,Yes
INV000907,59.2,Yes
INV000920,75.6,Yes
INV000926,80.0,Yes
INV000929,58.166666666666664,Yes
INV000930,32.42857142857143,No
INV000935,30.875,No
INV000939,60.57142857142857,Yes
INV000942,53.0,Yes
INV000949,67.5,Yes
INV000950,91.0,Yes
INV000971,46.833333333333336,Yes
INV000974,73.5,Yes
INV000977,48.77777777777778,Yes
INV000979,79.8,Yes
INV000980,44.42857142857143,Yes
INV000981,50.4,Yes
INV000986,60.833333333333336,Yes
INV000994,63.8,Yes
INV001001,60.285714285714285,Yes
INV001002,41.666666666666664,Yes
INV001005,93.6,Yes
INV001008,64.66666666666667,Yes
INV001013,96.8,Yes
INV001017,67.0,Yes
INV001019,44.875,Yes
INV001021,68.66666666666667,Yes
INV001023,72.42857142857143,Yes
INV001025,38.8,Yes
INV001026,69.4,Yes
INV001037,42.0,Yes
INV001039,66.2,Yes
INV001041,83.0,Yes
INV001047,66.16666666666667,Yes
INV001048,47.0,Yes
INV001051,54.142857142857146,Yes
INV001053,55.857142857142854,Yes
INV001055,93.2,Yes
INV001060,53.375,Yes
INV001061,51.125,Yes
INV001063,43.285714285714285,Yes
INV001064,59.5,Yes
INV001069,41.285714285714285,Yes
INV001070,97.0,Yes
INV001092,77.33333333333333,Yes
INV001099,26.142857142857142,No
INV001102,55.333333333333336,Yes
INV001115,81.4,Yes
INV001116,58.125,Yes
INV001117,61.714285714285715,Yes
INV001130,76.83333333333333,Yes
INV001137,57.0,Yes
INV001140,60.4,Yes
INV001141,97.6,Yes
INV001142,42.833333333333336,Yes
INV001156,102.4,Yes
INV001160,57.57142857142857,Yes
INV001161,80.6,Yes
INV001163,67.33333333333333,Yes
INV001167,96.2,Yes
INV001170,68.2,Yes
INV001173,67.0,Yes
INV001178,79.66666666666667,Yes
INV001180,74.4,Yes
INV001181,67.42857142857143,Yes
INV001190,97.0,Yes
INV001195,53.42857142857143,Yes
INV001196,92.2,Yes
INV001202,58.0,Yes
INV001206,83.6,Yes
INV001208,51.833333333333336,Yes
INV001210,36.875,Yes
INV001217,60.142857142857146,Yes
INV001219,50.857142857142854,Yes
INV001220,77.16666666666667,Yes
INV001223,70.83333333333333,Yes
INV001234,60.57142857142857,Yes
INV001235,59.0,Yes
INV001237,98.0,Yes
INV001238,68.5,Yes
INV001242,69.8,Yes
INV001251,82.0,Yes
INV001262,44.833333333333336,Yes
INV001274,73.33333333333333,Yes
INV001275,66.66666666666667,Yes
INV001282,67.0,Yes
INV001287,92.2,Yes
INV001288,45.666666666666664,Yes
INV001291,76.2,Yes
INV001295,50.75,Yes
INV001298,71.83333333333333,Yes
INV001299,51.25,Yes
INV001304,97.6,Yes
INV001308,54.625,Yes
INV001310,81.2,Yes
INV001314,50.44444444444444,Yes
INV001315,51.833333333333336,Yes
INV001316,92.4,Yes
INV001317,84.8,Yes
INV001318,46.22222222222222,Yes
INV001326,69.42857142857143,Yes
INV001329,68.2,Yes
INV001331,94.2,Yes
INV001332,80.0,Yes
INV001333,78.66666666666667,Yes
INV001336,65.85714285714286,Yes
INV001348,47.833333333333336,Yes
INV001351,70.5,Yes
INV001355,60.2,Yes
INV001356,79.2,Yes
INV001359,72.5,Yes
INV001361,50.5,Yes
INV001367,99.0,Yes
INV001375,78.5,Yes
INV001376,78.66666666666667,Yes
INV001383,56.142857142857146,Yes
INV001387,57.25,Yes
INV001394,63.57142857142857,Yes
INV001400,76.8,Yes
INV001401,68.6,Yes
INV001406,47.666666666666664,Yes
INV001407,45.2,Yes
INV001415,68.14285714285714,Yes
INV001418,88.6,Yes
INV001419,85.8,Yes
INV001423,48.57142857142857,Yes
INV001428,79.4,Yes
INV001432,71.4,Yes
INV001434,80.6,Yes
INV001442,57.125,Yes
INV001454,73.0,Yes
INV001455,64.71428571428571,Yes
INV001457,43.8,Yes
INV001458,59.833333333333336,Yes
INV001466,44.6,Yes
INV001472,79.0,Yes
INV001482,80.6,Yes
INV001485,55.0,Yes
INV001491,98.8,Yes
INV001497,63.0,Yes
INV001504,54.25,Yes
INV001507,86.2,Yes
INV001510,66.83333333333333,Yes
INV001514,51.833333333333336,Yes
INV001516,56.8,Yes
INV001526,50.4,Yes
INV001530,64.66666666666667,Yes
INV001532,56.833333333333336,Yes
INV001536,69.0,Yes
INV001545,92.8,Yes
INV001547,72.16666666666667,Yes
INV001548,80.6,Yes
INV001550,79.0,Yes
INV001551,61.8,Yes
INV001562,44.22222222222222,Yes
INV001564,55.714285714285715,Yes
INV001569,83.4,Yes
INV001579,75.0,Yes
INV001580,45.666666666666664,Yes
INV001585,56.6,Yes
INV001587,65.0,Yes
INV001597,56.0,Yes
INV001599,58.2,Yes
INV001602,93.8,Yes
INV001603,54.5,Yes
INV001605,60.57142857142857,Yes
INV001606,67.66666666666667,Yes
INV001616,53.0,Yes
INV001623,92.0,Yes
INV001625,72.0,Yes
INV001628,51.714285714285715,Yes
INV001629,67.5,Yes
INV001631,57.0,Yes
INV001636,48.875,Yes
INV001641,88.4,Yes
INV001644,65.6,Yes
INV001645,67.6,Yes
INV001649,51.666666666666664,Yes
INV001651,78.66666666666667,Yes
INV001653,55.2,Yes
INV001654,56.0,Yes
INV001656,59.857142857142854,Yes
INV001662,60.2,Yes
INV001672,34.0,No
INV001673,49.3,Yes
INV001680,58.875,Yes
INV001683,72.5,Yes
INV001689,83.6,Yes
INV001690,81.16666666666667,Yes
INV001691,82.0,Yes
INV001694,66.14285714285714,Yes
INV001697,62.5,Yes
INV001699,83.2,Yes
INV001709,51.8,Yes
INV001711,65.83333333333333,Yes
INV001712,66.6,Yes
INV001715,68.28571428571429,Yes
INV001718,84.0,Yes
INV001724,69.66666666666667,Yes
INV001728,50.57142857142857,Yes
INV001737,56.833333333333336,Yes
INV001738,47.5,Yes
INV001739,52.5,Yes
INV001741,89.4,Yes
INV001744,78.5,Yes
INV001752,69.33333333333333,Yes
INV001753,42.8,Yes
INV001757,55.57142857142857,Yes
INV001759,49.55555555555556,Yes
INV001769,98.0,Yes
INV001772,95.0,Yes
INV001775,29.142857142857142,No
INV001777,57.625,Yes
INV001778,63.57142857142857,Yes
INV001797,79.66666666666667,Yes
INV001800,49.666666666666664,Yes
INV001802,61.666666666666664,Yes
INV001803,59.0,Yes
INV001804,55.857142857142854,Yes
INV001806,60.0,Yes
INV001809,95.6,Yes
INV001811,54.25,Yes
INV001822,19.8,No
INV001823,58.142857142857146,Yes
INV001826,51.2,Yes
INV001828,44.42857142857143,Yes
INV001831,72.8,Yes
INV001837,62.833333333333336,Yes
INV001841,56.2,Yes
INV001853,47.42857142857143,Yes
INV001858,55.142857142857146,Yes
INV001865,63.5,Yes
INV001866,58.8,Yes
INV001870,76.0,Yes
INV001871,55.0,Yes
INV001883,99.2,Yes
INV001885,71.2,Yes
INV001886,50.75,Yes
INV001890,102.6,Yes
INV001891,96.4,Yes
INV001909,62.142857142857146,Yes
INV001912,86.4,Yes
INV001920,39.0,Yes
INV001921,68.57142857142857,Yes
INV001923,80.66666666666667,Yes
INV001924,59.166666666666664,Yes
INV001927,58.8,Yes
INV001929,66.2,Yes
INV001937,60.42857142857143,Yes
INV001938,43.0,Yes
INV001943,74.4,Yes
INV001950,60.166666666666664,Yes
INV001951,58.833333333333336,Yes
INV001954,86.8,Yes
INV001955,76.0,Yes
INV001961,83.4,Yes
INV001969,79.2,Yes
INV001971,54.714285714285715,Yes
INV001972,42.42857142857143,Yes
INV001978,83.2,Yes
INV001979,55.4,Yes
INV001982,85.8,Yes
INV001986,47.666666666666664,Yes
INV001987,67.0,Yes
INV001990,45.285714285714285,Yes
INV001993,56.6,Yes
INV001995,48.6,Yes
INV001997,88.6,Yes
INV002001,84.8,Yes
INV002006,73.6,Yes
INV002010,74.6,Yes
INV002017,44.666666666666664,Yes
INV002018,63.6,Yes
INV002019,68.8,Yes
INV002025,55.833333333333336,Yes
INV002033,55.0,Yes
INV002034,69.0,Yes
INV002037,33.2,No
INV002038,84.0,Yes
INV002051,78.6,Yes
INV002052,44.166666666666664,Yes
INV002069,47.55555555555556,Yes
INV002070,81.33333333333333,Yes
INV002083,51.666666666666664,Yes
INV002085,65.0,Yes
INV002090,90.2,Yes
INV002092,33.5,No
INV002101,80.2,Yes
INV002102,44.8,Yes
INV002107,71.14285714285714,Yes
INV002111,62.42857142857143,Yes
INV002119,78.0,Yes
INV002121,68.5,Yes
INV002122,40.333333333333336,Yes
INV002127,60.2,Yes
INV002134,82.66666666666667,Yes
INV002138,91.8,Yes
INV002142,45.5,Yes
INV002143,63.57142857142857,Yes
INV002149,42.285714285714285,Yes
INV002150,73.6,Yes
INV002151,60.375,Yes
INV002153,67.83333333333333,Yes
INV002154,89.4,Yes
INV002155,78.0,Yes
INV002157,58.5,Yes
INV002159,65.0,Yes
INV002162,58.375,Yes
INV002166,99.2,Yes
INV002171,55.833333333333336,Yes
INV002177,73.0,Yes
INV002178,66.42857142857143,Yes
INV002179,54.142857142857146,Yes
INV002182,70.5,Yes
INV002185,48.4,Yes
INV002186,74.83333333333333,Yes
INV002187,67.83333333333333,Yes
INV002195,49.25,Yes
INV002196,62.142857142857146,Yes
INV002198,43.0,Yes
INV002199,50.833333333333336,Yes
INV002202,70.42857142857143,Yes
INV002206,49.0,Yes
INV002208,71.33333333333333,Yes
INV002211,63.833333333333336,Yes
INV002216,61.714285714285715,Yes
INV002218,67.8,Yes
INV002219,70.85714285714286,Yes
INV002228,68.6,Yes
INV002229,64.6,Yes
INV002230,57.57142857142857,Yes
INV002232,69.16666666666667,Yes
INV002236,73.66666666666667,Yes
INV002237,51.666666666666664,Yes
INV002240,77.83333333333333,Yes
INV002241,65.66666666666667,Yes
INV002251,62.6,Yes
INV002256,75.6,Yes
INV002259,45.333333333333336,Yes
INV002260,77.8,Yes
INV002265,63.166666666666664,Yes
INV002277,67.33333333333333,Yes
INV002280,71.66666666666667,Yes
INV002282,53.2,Yes
INV002284,85.0,Yes
INV002290,61.6,Yes
INV002294,48.714285714285715,Yes
INV002295,64.5,Yes
INV002298,23.2,No
INV002304,42.55555555555556,Yes
INV002315,71.83333333333333,Yes
INV002319,60.0,Yes
INV002322,63.4,Yes
INV002327,76.4,Yes
INV002329,57.0,Yes
INV002342,74.2,Yes
INV002343,57.75,Yes
INV002347,40.5,Yes
INV002348,94.4,Yes
INV002349,52.2,Yes
INV002351,77.2,Yes
INV002357,68.33333333333333,Yes
INV002360,56.125,Yes
INV002361,55.4,Yes
INV002367,52.5,Yes
INV002368,61.166666666666664,Yes
INV002369,60.0,Yes
INV002370,70.16666666666667,Yes
INV002372,95.2,Yes
INV002373,70.14285714285714,Yes
INV002374,21.2,No
INV002384,39.111111111111114,Yes
INV002388,33.2,No
INV002389,50.77777777777778,Yes
INV002390,47.0,Yes
INV002391,40.2,Yes
INV002395,97.0,Yes
INV002400,55.375,Yes
INV002401,59.142857142857146,Yes
INV002402,47.166666666666664,Yes
INV002407,47.833333333333336,Yes
INV002409,55.57142857142857,Yes
INV002413,53.0,Yes
INV002415,57.42857142857143,Yes
INV002417,83.33333333333333,Yes
INV002418,91.6,Yes
INV002420,72.8,Yes
INV002422,50.333333333333336,Yes
INV002429,78.6,Yes
INV002434,88.2,Yes
INV002437,49.166666666666664,Yes
INV002445,38.142857142857146,Yes
INV002453,63.0,Yes
INV002458,72.4,Yes
INV002459,53.714285714285715,Yes
INV002463,95.4,Yes
INV002464,35.4,Yes
INV002466,80.66666666666667,Yes
INV002467,38.857142857142854,Yes
INV002471,56.4,Yes
INV002475,49.666666666666664,Yes
INV002476,86.0,Yes
INV002485,70.4,Yes
INV002490,70.0,Yes
INV002495,82.2,Yes
INV002496,53.0,Yes
INV002497,67.28571428571429,Yes
INV002508,51.625,Yes
INV002509,33.666666666666664,No
INV002510,64.33333333333333,Yes
INV002521,74.6,Yes
INV002527,49.666666666666664,Yes
INV002530,71.42857142857143,Yes
INV002531,76.33333333333333,Yes
INV002543,74.66666666666667,Yes
INV002547,89.0,Yes
INV002552,48.22222222222222,Yes
INV002554,49.666666666666664,Yes
INV002555,72.0,Yes
INV002557,67.16666666666667,Yes
INV002558,97.6,Yes
INV002560,95.2,Yes
INV002563,65.8,Yes
INV002567,82.0,Yes
INV002568,61.57142857142857,Yes
INV002570,62.0,Yes
INV002572,55.714285714285715,Yes
INV002574,79.4,Yes
INV002575,56.125,Yes
INV002579,40.8,Yes
INV002582,77.4,Yes
INV002585,65.0,Yes
INV002586,87.2,Yes
INV002590,50.22222222222222,Yes
INV002591,52.2,Yes
INV002594,94.0,Yes
INV002598,51.375,Yes
INV002602,66.0,Yes
INV002606,89.6,Yes
INV002613,65.0,Yes
INV002622,76.66666666666667,Yes
INV002627,85.0,Yes
INV002628,77.0,Yes
INV002632,65.57142857142857,Yes
INV002640,70.0,Yes
INV002643,74.2,Yes
INV002645,45.166666666666664,Yes
INV002654,61.857142857142854,Yes
INV002659,62.333333333333336,Yes
INV002666,53.166666666666664,Yes
INV002671,77.16666666666667,Yes
INV002673,65.0,Yes
INV002674,75.8,Yes
INV002675,63.857142857142854,Yes
INV002681,83.66666666666667,Yes
INV002684,80.6,Yes
INV002688,37.0,Yes
INV002689,50.0,Yes
INV002693,45.833333333333336,Yes
INV002697,55.333333333333336,Yes
INV002700,79.83333333333333,Yes
INV002704,59.142857142857146,Yes
INV002705,22.571428571428573,No
INV002706,73.6,Yes
INV002711,65.57142857142857,Yes
INV002712,46.8,Yes
INV002722,61.4,Yes
INV002723,37.75,Yes
INV002724,76.6,Yes
INV002726,45.57142857142857,Yes
INV002732,70.71428571428571,Yes
INV002733,51.57142857142857,Yes
INV002735,68.16666666666667,Yes
INV002736,70.6,Yes
INV002737,58.42857142857143,Yes
INV002743,88.2,Yes
INV002744,52.888888888888886,Yes
INV002746,68.0,Yes
INV002750,72.4,Yes
INV002751,41.5,Yes
INV002758,81.0,Yes
INV002761,80.6,Yes
INV002766,70.6,Yes
INV002767,55.333333333333336,Yes
INV002769,82.0,Yes
INV002772,74.5,Yes
INV002779,64.2,Yes
INV002783,64.0,Yes
INV002786,76.33333333333333,Yes
INV002793,59.333333333333336,Yes
INV002794,56.166666666666664,Yes
INV002799,70.8,Yes
INV002800,63.5,Yes
INV002803,64.83333333333333,Yes
INV002804,59.857142857142854,Yes
INV002808,59.666666666666664,Yes
INV002809,81.4,Yes
INV002810,32.285714285714285,No
INV002813,49.0,Yes
INV002822,53.0,Yes
INV002824,71.83333333333333,Yes
INV002826,61.6,Yes
INV002827,73.6,Yes
INV002828,80.0,Yes
INV002831,40.2,Yes
INV002835,82.33333333333333,Yes
INV002838,56.714285714285715,Yes
INV002841,43.4,Yes
INV002843,43.142857142857146,Yes
INV002847,52.666666666666664,Yes
INV002850,53.166666666666664,Yes
INV002852,75.8,Yes
INV002859,76.5,Yes
INV002863,74.4,Yes
INV002865,37.2,Yes
INV002870,48.2,Yes
INV002872,85.6,Yes
INV002873,98.2,Yes
INV002879,72.16666666666667,Yes
INV002881,43.6,Yes
INV002883,96.0,Yes
INV002886,44.333333333333336,Yes
INV002891,72.71428571428571,Yes
INV002893,50.0,Yes
INV002900,64.2,Yes
INV002903,89.6,Yes
INV002904,49.333333333333336,Yes
INV002905,73.0,Yes
INV002906,41.2,Yes
INV002909,82.33333333333333,Yes
INV002912,97.0,Yes
INV002913,73.66666666666667,Yes
INV002915,49.285714285714285,Yes
INV002921,53.333333333333336,Yes
INV002927,40.285714285714285,Yes
INV002935,48.0,Yes
INV002937,67.16666666666667,Yes
INV002939,60.5,Yes
INV002942,55.5,Yes
INV002945,65.0,Yes
INV002947,64.16666666666667,Yes
INV002950,45.857142857142854,Yes
INV002951,51.833333333333336,Yes
INV002961,84.66666666666667,Yes
INV002974,51.333333333333336,Yes
INV002984,91.0,Yes
INV002989,86.6,Yes
INV002994,58.166666666666664,Yes
INV003000,67.0,Yes
INV003003,58.25,Yes
INV003005,53.142857142857146,Yes
INV003007,48.25,Yes
INV003009,38.125,Yes
INV003011,64.16666666666667,Yes
INV003014,82.4,Yes
INV003015,54.666666666666664,Yes
INV003018,49.2,Yes
INV003022,69.6,Yes
INV003024,44.2,Yes
INV003025,35.285714285714285,Yes
INV003028,91.4,Yes
INV003034,73.4,Yes
INV003036,57.714285714285715,Yes
INV003037,79.5,Yes
INV003040,74.0,Yes
INV003043,73.83333333333333,Yes
INV003044,71.16666666666667,Yes
INV003045,36.2,Yes
INV003047,70.14285714285714,Yes
INV003054,78.66666666666667,Yes
INV003060,79.0,Yes
INV003063,57.833333333333336,Yes
INV003070,54.5,Yes
INV003074,74.8,Yes
INV003075,57.42857142857143,Yes
INV003078,69.16666666666667,Yes
INV003082,46.42857142857143,Yes
INV003083,66.4,Yes
INV003089,65.0,Yes
INV003091,50.875,Yes
INV003095,86.6,Yes
INV003097,62.714285714285715,Yes
INV003105,65.5,Yes
INV003112,91.6,Yes
INV003113,66.85714285714286,Yes
INV003115,48.0,Yes
INV003117,66.57142857142857,Yes
INV003134,76.83333333333333,Yes
INV003139,55.166666666666664,Yes
INV003140,57.0,Yes
INV003141,67.5,Yes
INV003144,82.5,Yes
INV003146,59.5,Yes
INV003151,81.0,Yes
INV003153,40.666666666666664,Yes
INV003158,55.625,Yes
INV003161,77.4,Yes
INV003169,62.6,Yes
INV003178,56.4,Yes
INV003179,56.25,Yes
INV003185,65.2,Yes
INV003187,58.25,Yes
INV003189,55.125,Yes
INV003191,76.8,Yes
INV003193,96.6,Yes
INV003196,80.33333333333333,Yes
INV003205,67.66666666666667,Yes
INV003210,72.2,Yes
INV003211,69.0,Yes
INV003214,59.8,Yes
INV003215,60.833333333333336,Yes
INV003219,57.2,Yes
INV003221,61.166666666666664,Yes
INV003222,81.5,Yes
INV003223,67.71428571428571,Yes
INV003228,70.16666666666667,Yes
INV003230,67.5,Yes
INV003231,83.0,Yes
INV003234,96.6,Yes
INV003236,51.125,Yes
INV003242,61.0,Yes
INV003247,84.6,Yes
INV003252,67.6,Yes
INV003256,51.0,Yes
INV003257,61.8,Yes
INV003260,89.4,Yes
INV003262,85.2,Yes
INV003267,74.4,Yes
INV003271,61.166666666666664,Yes
INV003273,60.142857142857146,Yes
INV003277,53.714285714285715,Yes
INV003279,63.375,Yes
INV003289,64.83333333333333,Yes
INV003300,64.8,Yes
INV003301,59.375,Yes
INV003304,44.22222222222222,Yes
INV003308,56.75,Yes
INV003310,80.8,Yes
INV003311,48.0,Yes
INV003314,73.5,Yes
INV003317,44.142857142857146,Yes
INV003320,45.285714285714285,Yes
INV003325,101.0,Yes
INV003329,89.0,Yes
INV003336,72.33333333333333,Yes
INV003338,37.5,Yes
INV003344,86.6,Yes
INV003350,92.4,Yes
INV003351,54.0,Yes
INV003352,68.14285714285714,Yes
INV003357,62.4,Yes
INV003360,59.42857142857143,Yes
INV003370,63.333333333333336,Yes
INV003372,59.4,Yes
INV003374,56.5,Yes
INV003375,52.714285714285715,Yes
INV003376,85.8,Yes
INV003379,75.16666666666667,Yes
INV003380,72.4,Yes
INV003382,34.2,No
INV003391,56.6,Yes
INV003393,63.714285714285715,Yes
INV003395,79.0,Yes
INV003398,55.42857142857143,Yes
INV003403,56.6,Yes
INV003404,50.285714285714285,Yes
INV003405,41.0,Yes
INV003406,59.0,Yes
INV003407,57.42857142857143,Yes
INV003422,84.66666666666667,Yes
INV003424,73.16666666666667,Yes
INV003427,84.2,Yes
INV003430,73.4,Yes
INV003431,51.4,Yes
INV003432,61.333333333333336,Yes
INV003435,73.83333333333333,Yes
INV003437,91.2,Yes
INV003448,74.5,Yes
INV003450,47.666666666666664,Yes
INV003455,35.5,Yes
INV003457,60.5,Yes
INV003458,67.85714285714286,Yes
INV003459,59.4,Yes
INV003473,95.8,Yes
INV003475,56.0,Yes
INV003478,56.625,Yes
INV003479,65.71428571428571,Yes
INV003480,82.4,Yes
INV003484,73.8,Yes
INV003487,70.6,Yes
INV003491,59.125,Yes
INV003492,90.8,Yes
INV003495,49.22222222222222,Yes
INV003506,67.0,Yes
INV003509,60.875,Yes
INV003511,65.57142857142857,Yes
INV003514,74.2,Yes
INV003518,67.8,Yes
