amfi_code,cagr_3yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,scheme_name,expense_ratio_pct,composite_score
120507,0.04956840603900603,-3.650183878568494,-7.663441383946556,0.06746210411099539,-0.0004440926329707232,-0.0009773140045925555,ICICI Pru Liquid Fund - Regular - Growth,0.74,37.88
120844,0.04515064482049791,-4.0003489692334275,-8.201285361776648,0.06455677495375998,-0.00040074423947839997,-0.0011629327956168556,Kotak Liquid Fund - Regular - Growth,0.6,37.25
120841,0.06332981690316175,0.2551174125622313,0.3755659269634425,0.13042924450705445,0.036356399022199795,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth,1.59,36.38
100025,0.04110461286570177,-1.0399413574427716,-1.5276086031208167,0.042817920315060876,0.0011582183155281443,-0.04308263824636349,HDFC Short Term Debt Fund - Regular - Growth,0.56,33.88
119120,0.029452095372302534,-0.7430986305648438,-1.0982754085807283,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,33.5
101208,0.04341410877385754,-4.6504007071509195,-9.181206799250909,0.060861457957871144,0.00026670968338238395,-0.0016224980244717857,ABSL Liquid Fund - Regular - Growth,0.79,32.12
120842,0.09841396578857076,-0.058166811414922574,-0.08170686710774017,0.0780443887615508,0.01805687420811818,-0.24003511326274884,Kotak Emerging Equity Fund - Regular - Growth,1.56,31.25
119599,-0.0345659533931818,-0.13617811182970346,-0.1920522319987562,0.048824215945539845,0.062001804382671694,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth,0.72,25.31
119092,0.0005165442734509362,-0.1310091688396525,-0.189909209198803,0.0689952982167755,0.00973074500115362,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth,1.64,23.94
101207,-0.05573632895491687,0.05261813647585479,0.07612342213110188,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth,1.53,22.69
119095,-0.09741731006848708,-0.15165815861644075,-0.21717962604109617,0.048015953637759554,-0.066951174639292,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth,1.38,17.88
102886,-0.03660262205002596,-0.29488891285109065,-0.4167758049116468,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth,1.51,15.44
100016,-0.017959562001467755,-0.321019260499541,-0.4711362209088779,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,HDFC Top 100 Fund - Regular Plan - Growth,1.55,14.25
